# Rime user dictionary
#@/db_name	HaJi
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	182
#@/user_id	16990d4b-e773-4c78-ab38-41c557a8bbb6
a 		c=3 d=2.24494 t=182
bo 		c=2 d=1.1142 t=182
dai 		c=6 d=3.6921 t=182
de 		c=1 d=0.985112 t=182
di 		c=4 d=2.37583 t=182
do 		c=3 d=2.73059 t=182
fu 		c=1 d=0.995012 t=182
g 		c=1 d=0.932394 t=182
ga 		c=6 d=4.38808 t=182
ha 		c=10 d=8.40441 t=182
he 		c=2 d=1.08725 t=182
i 		c=2 d=1.06334 t=182
ja 		c=2 d=1.20853 t=182
ji 		c=8 d=7.15176 t=182
ka 		c=3 d=1.58089 t=182
kai 		c=1 d=0.565525 t=182
ke 		c=1 d=0.995012 t=182
ki 		c=4 d=2.3885 t=182
ko 		c=3 d=1.97679 t=182
ku 		c=1 d=0.918512 t=182
le 		c=1 d=1 t=182
lei 		c=2 d=1.13247 t=182
lu 		c=4 d=3.50183 t=182
m 		c=1 d=0.516851 t=182
mai 		c=3 d=2.03924 t=182
me 		c=1 d=0.83527 t=182
mi 		c=2 d=1.68376 t=182
mu 		c=1 d=0.666977 t=182
n 		c=8 d=5.00433 t=182
na 		c=12 d=8.92609 t=182
ne 		c=3 d=1.95161 t=182
ng 		c=3 d=2.21786 t=182
nga 		c=1 d=0.955997 t=182
ni 		c=3 d=1.91593 t=182
no 		c=2 d=1.5615 t=182
o 		c=2 d=1.6922 t=182
pa 		c=2 d=1.11877 t=182
q 		c=1 d=0.99005 t=182
qa 		c=2 d=1.28048 t=182
qi 		c=1 d=0.755784 t=182
r 		c=5 d=2.43612 t=182
ri 		c=2 d=1.16696 t=182
ro 		c=4 d=2.26187 t=182
s 		c=3 d=1.47752 t=182
sa 		c=4 d=2.0868 t=182
sai 		c=1 d=0.644036 t=182
shu 		c=1 d=0.99005 t=182
si 		c=5 d=3.18882 t=182
so 		c=1 d=0.970446 t=182
su 		c=3 d=2.18655 t=182
tai 		c=1 d=0.718924 t=182
ti 		c=6 d=3.70377 t=182
v 		c=2 d=1.28662 t=182
xa 		c=3 d=1.31475 t=182
xi 		c=4 d=2.79253 t=182
y 		c=7 d=4.04292 t=182
zh 		c=1 d=0.496585 t=182
zha 		c=1 d=0.594521 t=182
zhe 		c=1 d=0.97531 t=182
zhi 		c=1 d=0.647265 t=182
zi 		c=3 d=2.02262 t=182
